Item Type;Publication Year;Publication Title;Author;Title;Date;Url;ISBN;ISSN;DOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;TensorFlow;"Gupta, Sandeep; Gordon, Josh; Allison, Karmel";Standardizing on Keras: Guidance on High-level APIs in TensorFlow 2.0;06/12/2018;https://medium.com/tensorflow/standardizing-on-keras-guidance-on-high-level-apis-in-tensorflow-2-0-bad2b04c819a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;TensorFlow Blog;Gordon, Josh;Introducing TensorFlow Hub: A Library for Reusable Machine Learning Modules in TensorFlow;30/03/2018;https://blog.tensorflow.org/2018/03/introducing-tensorflow-hub-library.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;The Hill;Beavers, Olivia;Artificial intelligence debate flares at Google;05/06/2018;https://thehill.com/policy/technology/390877-artificial-intelligence-debate-flares-at-google/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;VentureBeat;Wiggers, Kyle;IBM collaborated with the NYPD on an AI system that can search for people by race;06/09/2018;https://venturebeat.com/ai/ibm-collaborated-with-the-nydp-on-an-ai-system-that-can-search-for-people-by-race/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;YouTube official blog;"Mohan, Neal; Kyncl, Robert";Building a better news experience on YouTube, together;09/07/2018;https://blog.youtube/news-and-events/building-better-news-experience-on/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;FedScoop;Mitchell, Billy;The 'silver lining' in the fallout between Google and Project Maven;10/12/2019;https://fedscoop.com/project-maven-silver-lining-peter-thiel/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;Google the;Vaccarono, Fabio;A new tool to help Italian companies grow with AI;26/09/2019;https://blog.google/outreach-initiatives/grow-with-google/machine-learning-checkup-italy/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;Hashed Out by The SSL Store™;Nohe, Patrick;Mass Revocation: Millions of certificates revoked by Apple, Google & GoDaddy;13/03/2019;https://www.thesslstore.com/blog/mass-revocation-millions-of-certificates-revoked-by-apple-google-godaddy/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;Hashed Out by The SSL Store™;Nohe, Patrick;Taking a Closer Look at the SSL Handshake;30/04/2019;https://www.thesslstore.com/blog/explaining-ssl-handshake/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;Medium;Tanner, Gilbert;Simple Surveillance System with the Tensorflow Object Detection API;21/07/2019;https://towardsdatascience.com/simple-surveillance-system-with-the-tensorflow-object-detection-api-125e04d36446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
